%roundNum, %playerNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight, %timeIndividualFinished
0, 0, 0.44, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:09:07.028462
0, 1, 0.3, 1.0, 3.0, 1.0, 3.0, 0.708967527823, 3.0, 16:09:55.150570
0, 2, 0.48, 0.862695894358, 3.0, 0.568100083055, 3.0, 1.0, 3.0, 16:10:41.715137
0, 3, 0.34, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:11:32.824670
0, 4, 0.24, 1.0, 3.0, 1.0, 3.0, 1.0, 2.79544103892, 16:12:22.005052
1, 0, 0.38, 1.0, 3.0, 1.0, 3.0, 1.0, 2.9719990307, 16:13:16.054592
1, 1, 0.46, 1.0, 3.0, 1.0, 3.0, 1.0, 2.79544103892, 16:14:06.347274
1, 2, 0.34, 1.0, 3.0, 1.0, 3.0, 1.0, 2.79544103892, 16:14:50.104684
1, 3, 0.5, 1.0, 3.0, 1.0, 3.0, 1.0, 2.79544103892, 16:15:39.787266
1, 4, 0.36, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:16:29.990268
2, 0, 0.42, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:17:17.492445
2, 1, 0.38, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:18:04.884723
2, 2, 0.32, 1.03467797254, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:18:54.582498
2, 3, 0.34, 1.0, 3.91274749998, 1.0, 3.91274749998, 1.07370110888, 2.79544103892, 16:19:44.747829
2, 4, 0.38, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:20:35.223901
3, 0, 0.26, 1.0, 3.42120165675, 1.0, 3.42120165675, 0.884833744809, 2.79544103892, 16:21:23.497194
3, 1, 0.26, 1.0, 2.92924265236, 1.0, 2.92924265236, 0.706300460588, 2.75142762024, 16:22:12.786169
3, 2, 0.48, 0.854480564298, 3.42120165675, 1.0, 3.42120165675, 0.96527917489, 2.79544103892, 16:23:01.685299
3, 3, 0.28, 1.0, 3.43271706254, 0.596296369867, 3.43271706254, 1.0, 2.79544103892, 16:23:50.300485
3, 4, 0.4, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:24:37.792014
4, 0, 0.36, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.91178290331, 16:25:26.209151
4, 1, 0.24, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:26:15.787364
4, 2, 0.32, 1.34589703908, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:27:02.617165
4, 3, 0.44, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:27:51.096816
4, 4, 0.26, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:28:42.068087
5, 0, 0.26, 1.0, 3.42120165675, 0.967317832375, 3.42120165675, 1.0, 2.79544103892, 16:29:30.025128
5, 1, 0.36, 1.0, 3.00623196203, 0.571158784537, 3.00623196203, 0.989975879788, 2.79544103892, 16:30:16.571249
5, 2, 0.38, 0.820978612966, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:31:07.185077
5, 3, 0.26, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 3.02064899537, 16:31:59.676734
5, 4, 0.26, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 2.79544103892, 16:32:46.401325
6, 0, 0.34, 1.26031774516, 3.1226954491, 1.3147730901, 3.1226954491, 1.0, 2.79544103892, 16:33:36.602182
6, 1, 0.3, 1.0, 3.42120165675, 1.0, 3.42120165675, 1.0, 3.21039490172, 16:34:25.880190
6, 2, 0.32, 1.0, 3.36996663086, 1.0, 3.36996663086, 1.0, 3.03927975215, 16:35:10.192364
